"Prov;Tahun;IPM;KMSK;PENGRN;PE;JLMSK;JLPGGRN;PAD;TOTPEN;BLEKON;BLKES;BLPEDD;RSMAND"
"Sulawesi Utara;2013;69,5;8,5;6,8;6,4;5,30;11,16;6,67;7,63;7,81;7,46;8,29;0,9"
"Sulawesi Utara;2014;70,0;8,3;7,5;6,3;5,29;11,29;6,84;7,75;7,99;7,52;7,00;0,9"
"Sulawesi Utara;2015;70,4;9,0;9,0;6,1;5,38;11,51;6,92;7,84;8,06;7,68;8,57;0,9"
"Sulawesi Utara;2016;71,1;8,2;6,2;6,2;5,30;11,20;6,89;7,97;6,15;6,63;5,79;0,9"
"Sulawesi Utara;2017;71,7;7,9;7,2;6,3;5,27;11,30;7,04;8,22;8,10;7,82;9,49;0,9"
"Sulawesi Utara;2018;72,2;7,6;6,6;6,0;5,24;11,28;7,13;8,24;8,10;7,93;9,47;0,9"
"Sulawesi Utara;2019;73,0;7,5;6,0;5,7;5,24;11,20;7,16;8,28;8,18;8,58;9,57;0,9"
"Sulawesi Utara;2020;72,9;7,8;7,4;-1,0;5,28;11,41;7,03;8,21;7,76;8,86;9,61;0,9"
"Sulawesi Utara;2021;73,3;7,4;7,1;4,2;5,23;11,36;7,18;8,28;9,09;8,62;9,56;0,9"
"Sulawesi Utara;2022;73,8;7,3;6,6;5,4;5,23;11,32;7,29;8,22;8,62;8,61;9,28;0,9"
"Sulawesi Utara;2023;74,4;7,4;6,1;5,5;5,24;11,30;7,29;8,17;8,88;8,89;9,44;0,9"
"Sulawesi Tengah;2013;65,8;14,3;4,2;9,6;5,99;10,90;6,50;7,67;8,25;7,75;8,42;0,8"
"Sulawesi Tengah;2014;66,4;13,6;3,7;5,1;5,96;10,81;6,71;7,80;8,38;7,88;8,55;0,9"
"Sulawesi Tengah;2015;66,8;14,1;4,1;15,5;6,01;10,95;6,81;7,97;8,48;8,11;8,79;0,9"
"Sulawesi Tengah;2016;67,5;14,1;3,3;9,9;6,02;10,81;6,84;8,06;8,73;8,10;7,55;0,8"
"Sulawesi Tengah;2017;68,1;14,2;3,8;7,1;6,05;10,90;6,87;8,20;8,43;8,25;9,46;0,8"
"Sulawesi Tengah;2018;68,9;13,7;3,4;20,6;6,02;10,85;6,92;8,26;8,58;8,35;9,43;0,8"
"Sulawesi Tengah;2019;69,5;13,2;3,1;8,8;6,00;10,76;6,99;8,33;8,63;8,52;9,54;0,8"
"Sulawesi Tengah;2020;69,6;13,1;3,8;4,9;6,00;10,99;7,02;8,34;8,38;8,56;9,73;0,8"
"Sulawesi Tengah;2021;69,8;12,2;3,8;11,7;5,94;10,99;7,31;8,45;9,04;8,55;9,67;0,9"
"Sulawesi Tengah;2022;70,3;12,3;3,0;15,2;5,97;10,80;7,35;8,50;9,04;8,56;9,67;0,9"
"Sulawesi Tengah;2023;71,0;12,4;3,0;11,9;5,98;10,76;7,45;8,53;8,96;8,70;9,87;0,9"
"Sulawesi Selatan;2013;67,9;10,3;5,1;7,6;6,75;12,11;7,85;8,49;8,64;8,66;9,53;0,9"
"Sulawesi Selatan;2014;68,5;9,5;5,1;7,5;6,69;12,15;8,02;8,61;8,77;8,79;9,65;0,9"
"Sulawesi Selatan;2015;69,2;10,1;6,0;7,2;6,76;12,30;8,09;8,72;8,83;8,83;9,84;0,9"
"Sulawesi Selatan;2016;69,8;9,2;4,8;7,4;6,68;12,14;8,15;8,88;8,68;8,10;6,98;0,9"
"Sulawesi Selatan;2017;70,3;9,5;5,6;7,2;6,72;12,27;8,21;9,11;9,05;8,72;10,56;0,9"
"Sulawesi Selatan;2018;70,9;8,9;4,9;7,0;6,66;12,25;8,28;9,13;8,90;9,12;10,57;0,9"
"Sulawesi Selatan;2019;71,7;8,6;4,6;6,9;6,63;12,19;8,33;9,17;8,90;9,00;10,59;0,9"
"Sulawesi Selatan;2020;71,9;9,0;6,3;-0,7;6,68;12,51;8,27;9,14;8,75;9,20;10,62;0,9"
"Sulawesi Selatan;2021;72,2;8,5;5,7;4,6;6,64;12,44;8,40;9,21;9,21;8,89;10,28;0,9"
"Sulawesi Selatan;2022;72,8;8,7;4,5;5,1;6,66;12,23;8,49;9,10;9,51;8,98;10,27;0,9"
"Sulawesi Selatan;2023;73,5;8,7;4,3;4,5;6,67;12,22;8,55;9,15;9,31;9,11;10,64;0,9"
"Sulawesi Tenggara;2013;67,6;13,7;4,4;7,5;5,79;10,73;6,24;7,59;7,81;7,35;8,47;0,8"
"Sulawesi Tenggara;2014;68,1;12,8;4,4;6,3;5,75;10,78;6,40;7,69;7,95;7,50;8,61;0,8"
"Sulawesi Tenggara;2015;68,8;13,7;5,6;6,9;5,84;11,05;6,50;7,81;7,97;7,64;8,71;0,8"
"Sulawesi Tenggara;2016;69,3;12,8;2,7;6,5;5,79;10,44;6,62;7,94;8,20;7,82;6,92;0,8"
"Sulawesi Tenggara;2017;69,9;12,0;3,3;6,8;5,75;10,59;6,69;8,17;8,29;7,91;9,52;0,8"
"Sulawesi Tenggara;2018;70,6;11,3;3,2;6,4;5,71;10,63;6,81;8,24;9,59;8,04;8,30;0,8"
"Sulawesi Tenggara;2019;71,2;11,0;3,5;6,5;5,70;10,74;7,03;8,33;8,30;8,31;9,68;0,8"
"Sulawesi Tenggara;2020;71,5;11,7;4,6;-0,7;5,76;11,03;6,92;8,30;8,13;8,41;9,74;0,8"
"Sulawesi Tenggara;2021;71,7;11,7;3,9;4,1;5,78;10,90;7,23;8,42;9,34;8,20;9,36;0,9"
"Sulawesi Tenggara;2022;72,2;11,3;3,4;5,5;5,75;10,75;7,26;8,41;9,53;8,33;9,53;0,9"
"Sulawesi Tenggara;2023;72,8;11,4;3,2;5,4;5,77;10,69;7,28;8,40;9,41;8,47;9,71;0,9"
"Gorontalo;2013;64,7;18,0;4,2;7,7;5,30;9,90;5,28;6,95;7,52;6,70;7,76;0,8"
"Gorontalo;2014;65,2;17,4;4,2;7,3;5,27;9,95;5,64;7,10;7,64;6,74;6,73;0,8"
"Gorontalo;2015;65,9;18,2;4,7;6,2;5,33;10,09;5,67;7,24;7,67;6,90;7,97;0,8"
"Gorontalo;2016;66,3;17,6;2,8;6,5;5,32;9,65;5,74;7,37;7,89;7,42;7,07;0,8"
"Gorontalo;2017;67,0;17,1;4,3;6,7;5,30;10,06;5,85;7,48;7,60;7,22;8,70;0,8"
"Gorontalo;2018;67,7;15,8;3,7;6,5;5,24;9,99;5,95;7,50;7,65;7,18;8,70;0,8"
"Gorontalo;2019;68,5;15,3;3,8;6,4;5,22;10,02;6,07;7,57;7,74;7,34;8,77;0,8"
"Gorontalo;2020;68,7;15,6;4,3;0,0;5,22;10,14;6,03;7,53;7,42;7,44;8,84;0,8"
"Gorontalo;2021;69,0;15,4;3,0;2,4;5,22;9,80;6,24;7,59;7,91;7,67;8,80;0,8"
"Gorontalo;2022;69,8;15,5;2,6;2,3;5,23;9,70;6,24;7,52;8,32;7,57;8,55;0,8"
"Gorontalo;2023;70,5;15,2;3,1;5,3;5,21;9,90;6,24;7,53;8,03;7,69;8,97;0,8"
"Sulawesi Barat;2013;61,5;12,2;2,4;6,9;5,04;9,48;5,04;6,98;7,37;6,84;7,50;0,7"
"Sulawesi Barat;2014;62,2;12,1;2,1;8,9;5,04;9,45;5,41;7,12;7,53;7,01;7,66;0,8"
"Sulawesi Barat;2015;63,0;11,9;3,4;7,3;5,03;9,94;5,61;7,30;7,68;7,21;7,87;0,8"
"Sulawesi Barat;2016;63,6;11,2;3,3;6,0;4,99;9,98;5,63;7,43;7,67;7,46;7,21;0,8"
